ОКТМО,name

01000000000,Муниципальные образования Алтайского края
"01607403000,""Населенные пункты, входящие в состав сельского поселения Акутихинский сельсовет Быстроистокского муниципального района"""
"01607405000,""Населенные пункты, входящие в состав сельского поселения Быстроистокский сельсовет Быстроистокского муниципального района"""
"01607411000,""Населенные пункты, входящие в состав сельского поселения Верх-Ануйский сельсовет Быстроистокского муниципального района"""
"01607422000,""Населенные пункты, входящие в состав сельского поселения Верх-Озёрнинский сельсовет Быстроистокского муниципального района"""
"01607433000,""Населенные пункты, входящие в состав сельского поселения Новопокровский сельсовет Быстроистокского муниципального района"""
"01607437000,""Населенные пункты, входящие в состав сельского поселения Приобский сельсовет Быстроистокского муниципального района"""
"01607444000,""Населенные пункты, входящие в состав сельского поселения Усть-Ануйский сельсовет Быстроистокского муниципального района"""
"01607455000,""Населенные пункты, входящие в состав сельского поселения Хлеборобный сельсовет Быстроистокского муниципального района"""
01608000000,Волчихинский муниципальный район
01608400000,Сельские поселения Волчихинского муниципального района/
"01608410000,""Населенные пункты, входящие в состав сельского поселения Берёзовский сельсовет Волчихинского муниципального района"""
"01608414000,""Населенные пункты, входящие в состав сельского поселения Бор-Форпостовский сельсовет Волчихинского муниципального района"""
"01608421000,""Населенные пункты, входящие в состав сельского поселения Волчихинский сельсовет Волчихинского муниципального района"""
"01608423000,""Населенные пункты, входящие в состав сельского поселения Востровский сельсовет Волчихинского муниципального района"""
"01608430000,""Населенные пункты, входящие в состав сельского поселения Коминтерновский сельсовет Волчихинского муниципального района"""
"01608434000,""Населенные пункты, входящие в состав сельского поселения Малышево-Логовской сельсовет Волчихинского муниципального района"""
"01608445000,""Населенные пункты, входящие в состав сельского поселения Новокормихинский сельсовет Волчихинского муниципального района"""
"01608456000,""Населенные пункты, входящие в состав сельского поселения Пятковологовской сельсовет Волчихинского муниципального района"""
"01608467000,""Населенные пункты, входящие в состав сельского поселения Селивёрстовский сельсовет Волчихинского муниципального района"""
"01608478000,""Населенные пункты, входящие в состав сельского поселения Солоновский сельсовет Волчихинского муниципального района"""
"01608489000,""Населенные пункты, входящие в состав сельского поселения Усть-Волчихинский сельсовет Волчихинского муниципального района"""
01609000000,Егорьевский муниципальный район
01609400000,Сельские поселения Егорьевского муниципального района/
"01609411000,""Населенные пункты, входящие в состав сельского поселения Кругло-Семенцовский сельсовет Егорьевского муниципального района"""
"01609422000,""Населенные пункты, входящие в состав сельского поселения Лебяжинский сельсовет Егорьевского муниципального района"""
"01609428000,""Населенные пункты, входящие в состав сельского поселения Малошелковниковский сельсовет Егорьевского муниципального района"""
"01609433000,""Населенные пункты, входящие в состав сельского поселения Новоегорьевский сельсовет Егорьевского муниципального района"""
"01609444000,""Населенные пункты, входящие в состав сельского поселения Первомайский сельсовет Егорьевского муниципального района"""
"01609455000,""Населенные пункты, входящие в состав сельского поселения Сростинский сельсовет Егорьевского муниципального района"""
"01609466000,""Населенные пункты, входящие в состав сельского поселения Титовский сельсовет Егорьевского муниципального района"""
"01609490000,""Населенные пункты, входящие в состав сельского поселения Шубинский сельсовет Егорьевского муниципального района"""
01610000000,Ельцовский муниципальный район
01610400000,Сельские поселения Ельцовского муниципального района/
"01610411000,""Населенные пункты, входящие в состав сельского поселения Верх-Ненинский сельсовет Ельцовского муниципального района"""
"01610422000,""Населенные пункты, входящие в состав сельского поселения Ельцовский сельсовет Ельцовского муниципального района"""
"01610433000,""Населенные пункты, входящие в состав сельского поселения Мартыновский сельсовет Ельцовского муниципального района"""
"01610444000,""Населенные пункты, входящие в состав сельского поселения Новокаменский сельсовет Ельцовского муниципального района"""
"01610466000,""Населенные пункты, входящие в состав сельского поселения Пуштулимский сельсовет Ельцовского муниципального района"""
"01610488000,""Населенные пункты, входящие в состав сельского поселения Черемшанский сельсовет Ельцовского муниципального района"""
01611000000,Завьяловский муниципальный район
01611400000,Сельские поселения Завьяловского муниципального района/
"01611411000,""Населенные пункты, входящие в состав сельского поселения Гилёвский сельсовет Завьяловского муниципального района"""
"01611416000,""Населенные пункты, входящие в состав сельского поселения Глубоковский сельсовет Завьяловского муниципального района"""
"01611423000,""Населенные пункты, входящие в состав сельского поселения Гоноховский сельсовет Завьяловского муниципального района"""
"01611434000,""Населенные пункты, входящие в состав сельского поселения Завьяловский сельсовет Завьяловского муниципального района"""
"01611445000,""Населенные пункты, входящие в состав сельского поселения Камышенский сельсовет Завьяловского муниципального района"""
"01611456000,""Населенные пункты, входящие в состав сельского поселения Малиновский сельсовет Завьяловского муниципального района"""
"01611467000,""Населенные пункты, входящие в состав сельского поселения Овечкинский сельсовет Завьяловского муниципального района"""
"01611469000,""Населенные пункты, входящие в состав сельского поселения Светловский сельсовет Завьяловского муниципального района"""
"01611470000,""Населенные пункты, входящие в состав сельского поселения Тумановский сельсовет Завьяловского муниципального района"""
"01611478000,""Населенные пункты, входящие в состав сельского поселения Харитоновский сельсовет Завьяловского муниципального района"""
"01611486000,""Населенные пункты, входящие в состав сельского поселения Чернавский сельсовет Завьяловского муниципального района"""
"01611489000,""Населенные пункты, входящие в состав сельского поселения Чистоозёрский сельсовет Завьяловского муниципального района"""
01613000000,Заринский муниципальный район
01613400000,Сельские поселения Заринского муниципального района/
"01613406000,""Населенные пункты, входящие в состав сельского поселения Аламбайский сельсовет Заринского муниципального района"""
